Date,Time,Signal,Price,Open,High,Low,Close
2024.02.14,19:10:00,BUY,1992.42,1992.34,1992.7,1991.95,1992.42
2024.02.14,19:35:00,BUY,1992.9,1991.88,1993.02,1991.66,1992.9
2024.02.14,21:10:00,BUY,1991.74,1991.44,1991.81,1991.19,1991.74
2024.02.14,21:25:00,SELL,1990.62,1991.09,1991.09,1990.26,1990.62
2024.02.14,21:55:00,BUY,1991.8,1991.34,1991.93,1991.19,1991.8
2024.02.14,22:10:00,BUY,1991.32,1991.3,1991.45,1991.21,1991.32
2024.02.14,22:20:00,SELL,1990.12,1990.55,1990.56,1989.98,1990.12
2024.02.14,22:45:00,SELL,1990.92,1990.97,1991.01,1990.62,1990.92
2024.02.14,23:05:00,SELL,1990.7,1990.73,1990.87,1990.44,1990.7
2024.02.14,23:25:00,SELL,1990.67,1990.7,1990.76,1990.54,1990.67
2024.02.14,23:40:00,BUY,1991.82,1991.29,1991.98,1991.22,1991.82
2024.02.15,05:50:00,SELL,1990.62,1990.67,1991.07,1990.58,1990.62
2024.02.15,06:20:00,SELL,1991.16,1991.29,1991.33,1991.04,1991.16
2024.02.15,06:50:00,BUY,1991.98,1991.82,1992.06,1991.73,1991.98
2024.02.16,08:20:00,SELL,2003.06,2003.31,2003.31,2002.72,2003.06
2024.02.16,09:10:00,BUY,2004.32,2003.8,2004.71,2003.78,2004.32
2024.02.16,15:35:00,SELL,1996.93,1998.68,1999.0,1995.11,1996.93
2024.02.16,17:20:00,BUY,2005.26,2004.46,2006.12,2004.46,2005.26
2024.02.19,14:40:00,SELL,2017.2,2017.82,2018.01,2017.1,2017.2
2024.02.19,15:10:00,BUY,2019.1,2018.67,2019.18,2018.6,2019.1
2024.02.20,03:40:00,SELL,2017.32,2018.03,2018.12,2017.04,2017.32
2024.02.20,03:50:00,SELL,2017.32,2018.1,2018.1,2017.28,2017.32
2024.02.20,04:50:00,SELL,2017.6,2017.71,2017.94,2017.55,2017.6
2024.02.20,22:05:00,SELL,2023.76,2024.1,2024.43,2023.58,2023.76
2024.02.20,22:35:00,SELL,2024.06,2024.1,2024.18,2023.7,2024.06
2024.02.21,03:55:00,SELL,2025.42,2025.69,2025.74,2025.32,2025.42
2024.02.21,04:05:00,BUY,2027.18,2026.54,2027.27,2026.22,2027.18
2024.02.21,10:50:00,SELL,2026.87,2027.28,2027.28,2026.66,2026.87
2024.02.21,11:10:00,SELL,2026.41,2026.56,2026.66,2025.96,2026.41
2024.02.21,11:25:00,BUY,2027.88,2027.5,2028.05,2027.47,2027.88
2024.02.21,11:40:00,BUY,2028.26,2027.8,2028.45,2027.61,2028.26
2024.02.21,13:20:00,BUY,2028.12,2027.9,2028.31,2027.66,2028.12
2024.02.21,15:30:00,BUY,2029.42,2028.86,2030.12,2028.63,2029.42
2024.02.21,17:15:00,BUY,2029.98,2029.63,2030.2,2029.25,2029.98
2024.02.21,17:45:00,SELL,2027.05,2028.04,2028.12,2027.04,2027.05
